url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,40,13
/CARV-ICS-FORTH/frisbee/issues,6,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,3,2
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,3,1
/CARV-ICS-FORTH/frisbee/blob/main/.github/workflows/release-kubectl-frisbee.yml,3,1
/CARV-ICS-FORTH/frisbee/issues/new,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,3,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/ci/sequential-tests.yaml,2,2
