url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,25,11
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,3,1
/CARV-ICS-FORTH/frisbee/pulls,2,2
/CARV-ICS-FORTH/frisbee/tree/main/charts,2,2
/CARV-ICS-FORTH/frisbee/issues,2,1
/CARV-ICS-FORTH/frisbee/blob/main/charts/databases/redis/examples/10.availability-failover-single.yml,1,1
/CARV-ICS-FORTH/frisbee/blob/main/charts/databases/tebis/build/tebis.Dockerfile,1,1
