url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb,14,4
/CARV-ICS-FORTH/frisbee,11,4
/CARV-ICS-FORTH/frisbee/tree/main/examples,11,2
/CARV-ICS-FORTH/frisbee/tree/main/charts,8,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps,6,2
/CARV-ICS-FORTH/frisbee/tree/main/charts/platform,6,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb/examples,6,1
/CARV-ICS-FORTH/frisbee/tree/main/cmd/kubectl-frisbee/commands,5,1
/CARV-ICS-FORTH/frisbee/tree/main/controllers,5,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb/templates,5,1
