url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,10,4
/CARV-ICS-FORTH/frisbee/blob/main/.github/workflows/live-testbed.yml,3,2
/CARV-ICS-FORTH/frisbee/tree/main/cmd/kubectl-frisbee/commands,3,1
/CARV-ICS-FORTH/frisbee/tree/main/charts,2,2
/CARV-ICS-FORTH/frisbee/tree/main/.github/workflows,2,2
/carv-ics-forth/frisbee,1,1
/CARV-ICS-FORTH/frisbee/actions,1,1
/CARV-ICS-FORTH/frisbee/actions/workflows/live-testbed.yml,1,1
/CARV-ICS-FORTH/frisbee/blob/main/charts/databases/tebis/build/tebis.Dockerfile,1,1
/CARV-ICS-FORTH/frisbee/blob/main/charts/federated-learning/fedbed/examples/basic-setup.yml,1,1
