url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,7,7
/CARV-ICS-FORTH/frisbee/tree/f80a214b67e2aa90fe1b5e1623785499e24acbcb/charts/platform/templates,5,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,5,1
/CARV-ICS-FORTH/frisbee/tree/f80a214b67e2aa90fe1b5e1623785499e24acbcb/charts/platform/templates/volumes,4,1
/CARV-ICS-FORTH/frisbee/tree/main/charts,4,1
/CARV-ICS-FORTH/frisbee/issues,3,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/iperf2,3,1
/CARV-ICS-FORTH/frisbee/blob/f80a214b67e2aa90fe1b5e1623785499e24acbcb/charts/platform/templates/configuration.yaml,2,1
/CARV-ICS-FORTH/frisbee/blob/f80a214b67e2aa90fe1b5e1623785499e24acbcb/charts/platform/templates/volumes/storageclasses.yml,2,1
/CARV-ICS-FORTH/frisbee/blob/f80a214b67e2aa90fe1b5e1623785499e24acbcb/charts/platform/values.yaml,2,1
