time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-06 00:00:00+00:00,1.0,1.0,,
2024-03-07 00:00:00+00:00,3.0,3.0,,
2024-03-08 00:00:00+00:00,2.0,2.0,2.0,1.0
2024-03-09 00:00:00+00:00,3.0,2.0,90.0,2.0
2024-03-10 00:00:00+00:00,3.0,3.0,1.0,1.0
2024-03-11 00:00:00+00:00,3.0,3.0,2.0,2.0
2024-03-12 00:00:00+00:00,2.0,2.0,111.0,4.0
2024-03-13 00:00:00+00:00,2.0,2.0,5.0,3.0
2024-03-14 00:00:00+00:00,1.0,1.0,121.0,2.0
2024-03-15 00:00:00+00:00,3.0,3.0,3.0,2.0
2024-03-16 00:00:00+00:00,1.0,1.0,2.0,1.0
2024-03-17 00:00:00+00:00,3.0,3.0,,
2024-03-18 00:00:00+00:00,3.0,3.0,1.0,1.0
2024-03-19 00:00:00+00:00,,,8.0,1.0
