url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,24,19
/CARV-ICS-FORTH/frisbee/activity,5,1
/CARV-ICS-FORTH/frisbee/issues/247,4,4
/CARV-ICS-FORTH/frisbee/blame/aa68afc1f859b4c3761770e9dedc2c301bc953a7/charts/platform/templates/webhook/admission/manifests.yaml,4,1
/CARV-ICS-FORTH/frisbee/issues,4,1
/CARV-ICS-FORTH/frisbee/blob/aa68afc1f859b4c3761770e9dedc2c301bc953a7/charts/platform/templates/webhook/admission/manifests.yaml,3,1
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,2,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,2,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,2,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,2,2
