time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,14,7,,
2025-12-10 00:00:00+00:00,10,6,,
2025-12-11 00:00:00+00:00,6,2,,
2025-12-12 00:00:00+00:00,10,6,1.0,1.0
2025-12-13 00:00:00+00:00,8,4,,
2025-12-14 00:00:00+00:00,9,5,,
2025-12-15 00:00:00+00:00,3,3,2.0,2.0
2025-12-16 00:00:00+00:00,2,2,9.0,1.0
2025-12-17 00:00:00+00:00,10,6,1.0,1.0
2025-12-18 00:00:00+00:00,16,11,10.0,2.0
2025-12-19 00:00:00+00:00,11,7,3.0,3.0
2025-12-20 00:00:00+00:00,8,4,1.0,1.0
2025-12-21 00:00:00+00:00,10,5,2.0,2.0
