time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-15 00:00:00+00:00,5,5,1.0,1.0
2025-11-16 00:00:00+00:00,5,4,1.0,1.0
2025-11-17 00:00:00+00:00,3,3,,
2025-11-18 00:00:00+00:00,6,6,12.0,1.0
2025-11-19 00:00:00+00:00,3,3,,
2025-11-20 00:00:00+00:00,3,3,1.0,1.0
2025-11-21 00:00:00+00:00,6,5,,
2025-11-22 00:00:00+00:00,3,3,,
2025-11-23 00:00:00+00:00,6,6,1.0,1.0
2025-11-24 00:00:00+00:00,31,28,3.0,3.0
2025-11-25 00:00:00+00:00,1,1,,
2025-11-26 00:00:00+00:00,8,8,,
2025-11-27 00:00:00+00:00,8,8,,
2025-11-28 00:00:00+00:00,9,8,3.0,3.0
