time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-17 00:00:00+00:00,14,9,70,3
2023-07-18 00:00:00+00:00,7,4,23,2
2023-07-19 00:00:00+00:00,4,3,9,2
2023-07-20 00:00:00+00:00,4,3,8,2
2023-07-21 00:00:00+00:00,5,4,3,1
2023-07-22 00:00:00+00:00,4,3,1,1
2023-07-23 00:00:00+00:00,3,2,1,1
2023-07-24 00:00:00+00:00,41,12,254,1
2023-07-25 00:00:00+00:00,6,3,53,2
2023-07-26 00:00:00+00:00,5,3,11,1
2023-07-27 00:00:00+00:00,4,3,8,2
2023-07-28 00:00:00+00:00,6,4,20,2
2023-07-29 00:00:00+00:00,3,2,1,1
2023-07-30 00:00:00+00:00,2,2,4,3
