time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-05 00:00:00+00:00,5,4,1.0,1.0
2023-08-06 00:00:00+00:00,5,4,1.0,1.0
2023-08-07 00:00:00+00:00,5,4,1.0,1.0
2023-08-08 00:00:00+00:00,5,4,13.0,2.0
2023-08-09 00:00:00+00:00,5,4,1.0,1.0
2023-08-10 00:00:00+00:00,3,2,3.0,1.0
2023-08-11 00:00:00+00:00,4,3,3.0,2.0
2023-08-12 00:00:00+00:00,2,2,,
2023-08-13 00:00:00+00:00,3,2,2.0,1.0
2023-08-14 00:00:00+00:00,6,5,2.0,2.0
2023-08-15 00:00:00+00:00,5,4,2.0,1.0
2023-08-16 00:00:00+00:00,5,4,,
2023-08-17 00:00:00+00:00,3,2,9.0,4.0
2023-08-18 00:00:00+00:00,38,18,44.0,1.0
