url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,12,6
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/federated-learning,6,2
/CARV-ICS-FORTH/frisbee/tree/main/.github,6,1
/CARV-ICS-FORTH/frisbee/blob/main/Makefile,5,1
/CARV-ICS-FORTH/frisbee/blob/main/VERSION,5,1
/CARV-ICS-FORTH/frisbee/blob/main/.github/workflows/release-docker-images.yml,4,1
/CARV-ICS-FORTH/frisbee/tree/main/.github/workflows,4,1
/CARV-ICS-FORTH/frisbee/tree/main,3,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/federated-learning/resource-distribution,3,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/patterns/federated-learning/resource-distribution/manifest.yml,2,1
