url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,8,2
/CARV-ICS-FORTH/frisbee/tree/main/cmd/kubectl-frisbee/commands,5,1
/CARV-ICS-FORTH/frisbee/tree/main/controllers,5,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb/templates,5,1
/CARV-ICS-FORTH/frisbee/tree/main/charts,4,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/platform,4,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb,4,1
/CARV-ICS-FORTH/frisbee/stargazers,3,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,3,1
/CARV-ICS-FORTH/frisbee/blob/a3f6f5363062adb171857b53c15b8954f5004de0/charts/platform/README.md,2,1
