time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-15 00:00:00+00:00,5,4,2.0,1.0
2023-08-16 00:00:00+00:00,5,4,,
2023-08-17 00:00:00+00:00,3,2,9.0,4.0
2023-08-18 00:00:00+00:00,41,19,44.0,1.0
2023-08-19 00:00:00+00:00,7,4,,
2023-08-20 00:00:00+00:00,7,6,,
2023-08-21 00:00:00+00:00,8,7,3.0,1.0
2023-08-22 00:00:00+00:00,4,3,1.0,1.0
2023-08-23 00:00:00+00:00,5,4,5.0,2.0
2023-08-24 00:00:00+00:00,6,4,1.0,1.0
2023-08-25 00:00:00+00:00,5,4,1.0,1.0
2023-08-26 00:00:00+00:00,5,4,7.0,2.0
2023-08-27 00:00:00+00:00,4,3,1.0,1.0
2023-08-28 00:00:00+00:00,3,3,,
