url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,17,9
/CARV-ICS-FORTH/frisbee/search,4,1
/CARV-ICS-FORTH/frisbee/blob/9a210b7b6eb7ba6890f17defca8625d2f9e69387/.github/workflows/live-testbed.yml,3,1
/CARV-ICS-FORTH/frisbee/tree/main/charts,3,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases,3,1
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,2,2
/CARV-ICS-FORTH/frisbee/blob/9a210b7b6eb7ba6890f17defca8625d2f9e69387/pkg/grafana/dataquery.go,2,1
/CARV-ICS-FORTH/frisbee/blob/main/.github/workflows/live-testbed.yml,2,1
/CARV-ICS-FORTH/frisbee/blob/92ccfe4cb874eb9d670cb4a624abfc6c6cbe7be8/examples/tutorial/12.callables.yml,1,1
/CARV-ICS-FORTH/frisbee/blob/b1f4e9416d3023bff254bbd71ba1ab8e15267da6/api/v1alpha1/crd_service.go,1,1
