url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,78,14
/CARV-ICS-FORTH/frisbee/issues,19,4
/CARV-ICS-FORTH/frisbee/actions,10,2
/CARV-ICS-FORTH/frisbee/blob/main/hack/pdf-exporter/long-dashboards.js,8,1
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,5,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,5,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,5,2
/CARV-ICS-FORTH/frisbee/pulls,5,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,4,3
/CARV-ICS-FORTH/frisbee/tree/main/examples/databases,4,3
