url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,78,22
/CARV-ICS-FORTH/frisbee/issues,14,5
/CARV-ICS-FORTH/frisbee/actions,8,2
/CARV-ICS-FORTH/frisbee/blob/main/controllers/service/watchPods.go,8,1
/CARV-ICS-FORTH/frisbee/blob/main/hack/pdf-exporter/long-dashboards.js,8,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,6,3
/CARV-ICS-FORTH/frisbee/tree/main/controllers,6,2
/CARV-ICS-FORTH/frisbee/tree/main/examples/databases,5,3
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,5,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,5,2
