time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-01 00:00:00+00:00,1,1,22.0,1.0
2024-04-02 00:00:00+00:00,3,3,42.0,3.0
2024-04-03 00:00:00+00:00,3,3,2.0,1.0
2024-04-04 00:00:00+00:00,3,3,8.0,1.0
2024-04-05 00:00:00+00:00,3,3,9.0,3.0
2024-04-06 00:00:00+00:00,2,2,2.0,1.0
2024-04-07 00:00:00+00:00,3,3,1.0,1.0
2024-04-08 00:00:00+00:00,2,2,7.0,1.0
2024-04-09 00:00:00+00:00,3,3,5.0,3.0
2024-04-10 00:00:00+00:00,6,6,,
2024-04-11 00:00:00+00:00,2,2,,
2024-04-12 00:00:00+00:00,5,4,1.0,1.0
2024-04-13 00:00:00+00:00,2,2,,
2024-04-14 00:00:00+00:00,2,2,,
