referrer,views_total,views_unique
github.com,27,1
m.facebook.com,5,1
Google,3,3
com.linkedin.android,3,1
job-boards.greenhouse.io,2,2
eupex.eu,1,1
DuckDuckGo,1,1
chatgpt.com,1,1
