url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,64,3
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,10,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,8,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,8,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,8,1
/CARV-ICS-FORTH/frisbee/blob/main/README.md,6,1
/CARV-ICS-FORTH/frisbee/edit/main/README.md,5,1
/CARV-ICS-FORTH/frisbee/issues,3,1
/CARV-ICS-FORTH/frisbee/stargazers,2,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/15.performance-monitoring.yml,1,1
