time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-15 00:00:00+00:00,7,4,,
2023-07-16 00:00:00+00:00,3,2,7.0,1.0
2023-07-17 00:00:00+00:00,14,9,70.0,3.0
2023-07-18 00:00:00+00:00,7,4,23.0,2.0
2023-07-19 00:00:00+00:00,4,3,9.0,2.0
2023-07-20 00:00:00+00:00,4,3,8.0,2.0
2023-07-21 00:00:00+00:00,5,4,3.0,1.0
2023-07-22 00:00:00+00:00,4,3,1.0,1.0
2023-07-23 00:00:00+00:00,3,2,1.0,1.0
2023-07-24 00:00:00+00:00,41,12,254.0,1.0
2023-07-25 00:00:00+00:00,6,3,53.0,2.0
2023-07-26 00:00:00+00:00,5,3,11.0,1.0
2023-07-27 00:00:00+00:00,4,3,8.0,2.0
2023-07-28 00:00:00+00:00,3,2,3.0,2.0
