url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,11,8
/CARV-ICS-FORTH/frisbee/blob/main/examples/patterns/databases/sstable-bitrot/manifest.yml,6,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns,5,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/databases/sstable-bitrot,5,1
/CARV-ICS-FORTH/frisbee/blob/a3f6f5363062adb171857b53c15b8954f5004de0/charts/platform/templates/volumes/storageclasses.yml,4,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,4,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/patterns/hpc,3,1
/CARV-ICS-FORTH/frisbee/blob/a3f6f5363062adb171857b53c15b8954f5004de0/examples/apps/mongodb/templates/master.yml,2,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/apps/opengadget3/templates/ssh.yml,2,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps,2,1
