time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-21 00:00:00+00:00,5,4,3,1
2023-07-22 00:00:00+00:00,4,3,1,1
2023-07-23 00:00:00+00:00,3,2,1,1
2023-07-24 00:00:00+00:00,41,12,254,1
2023-07-25 00:00:00+00:00,6,3,53,2
2023-07-26 00:00:00+00:00,5,3,11,1
2023-07-27 00:00:00+00:00,4,3,8,2
2023-07-28 00:00:00+00:00,6,4,20,2
2023-07-29 00:00:00+00:00,3,2,1,1
2023-07-30 00:00:00+00:00,5,3,4,3
2023-07-31 00:00:00+00:00,7,6,3,3
2023-08-01 00:00:00+00:00,4,3,9,4
2023-08-02 00:00:00+00:00,5,4,46,5
2023-08-03 00:00:00+00:00,1,1,19,3
