url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,25,6
/CARV-ICS-FORTH/frisbee/tree/main/.github/workflows,8,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases,6,2
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,5,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,4,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,4,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,4,1
/CARV-ICS-FORTH/frisbee/tree/main/charts,4,1
/CARV-ICS-FORTH/frisbee/tree/main/.github,4,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases/mongodb,3,1
