referrer,views_total,views_unique
frisbee.dev,75,2
github.com,39,2
link.zhihu.com,13,1
ecosia.org,11,1
Google,5,4
startup.jobs,3,1
boards.greenhouse.io,2,2
DuckDuckGo,1,1
