url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,10,8
/CARV-ICS-FORTH/frisbee/tree/main/cmd/manager,10,1
/CARV-ICS-FORTH/frisbee/tree/main/cmd,9,1
/CARV-ICS-FORTH/frisbee/tree/main/cmd/kubectl-frisbee/commands,9,1
/CARV-ICS-FORTH/frisbee/tree/main/cmd/kubectl-frisbee,7,1
/CARV-ICS-FORTH/frisbee/blob/main/cmd/manager/main.go,6,1
/CARV-ICS-FORTH/frisbee/tree/main/images,5,1
/CARV-ICS-FORTH/frisbee/blob/main/cmd/kubectl-frisbee/commands/save.go,4,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,4,1
/CARV-ICS-FORTH/frisbee/blob/main/cmd/kubectl-frisbee/commands/root.go,3,1
