url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/federated-learning,17,2
/CARV-ICS-FORTH/frisbee,14,7
/CARV-ICS-FORTH/frisbee/tree/main/charts,11,3
/CARV-ICS-FORTH/frisbee/tree/main/charts/platform,6,2
/CARV-ICS-FORTH/frisbee/tree/main/charts/system,6,2
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/federated-learning/node-placement,6,1
/CARV-ICS-FORTH/frisbee/tree/main/api,5,2
/CARV-ICS-FORTH/frisbee/tree/main/examples,5,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/federated-learning/crash-on-epoch,5,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/federated-learning/resource-distribution,5,1
