time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,17,12,2.0,2.0
2025-10-27 00:00:00+00:00,18,14,4.0,4.0
2025-10-28 00:00:00+00:00,16,11,,
2025-10-29 00:00:00+00:00,10,5,1.0,1.0
2025-10-30 00:00:00+00:00,15,11,1.0,1.0
2025-10-31 00:00:00+00:00,22,12,2.0,2.0
2025-11-01 00:00:00+00:00,8,8,1.0,1.0
2025-11-02 00:00:00+00:00,20,10,1.0,1.0
2025-11-03 00:00:00+00:00,23,10,2.0,2.0
2025-11-04 00:00:00+00:00,27,15,2.0,2.0
2025-11-05 00:00:00+00:00,18,13,1.0,1.0
2025-11-06 00:00:00+00:00,8,8,,
2025-11-07 00:00:00+00:00,10,10,2.0,2.0
2025-11-08 00:00:00+00:00,18,7,,
