url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,73,4
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,12,2
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,10,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,10,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,10,1
/CARV-ICS-FORTH/frisbee/blob/main/README.md,6,1
/CARV-ICS-FORTH/frisbee/edit/main/README.md,5,1
/CARV-ICS-FORTH/frisbee/issues,4,1
/CARV-ICS-FORTH/frisbee/commit/bff7e43203362e59450e4caf368c0952ca511139,3,1
/CARV-ICS-FORTH/frisbee/stargazers,2,1
