time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,17,12,5.0,4.0
2025-10-11 00:00:00+00:00,15,13,,
2025-10-12 00:00:00+00:00,9,8,1.0,1.0
2025-10-13 00:00:00+00:00,4,4,6.0,2.0
2025-10-14 00:00:00+00:00,23,6,4.0,4.0
2025-10-15 00:00:00+00:00,12,10,1.0,1.0
2025-10-16 00:00:00+00:00,18,7,1.0,1.0
2025-10-17 00:00:00+00:00,10,9,1.0,1.0
2025-10-18 00:00:00+00:00,8,6,1.0,1.0
2025-10-19 00:00:00+00:00,11,6,2.0,2.0
2025-10-20 00:00:00+00:00,5,5,4.0,4.0
2025-10-21 00:00:00+00:00,10,4,1.0,1.0
2025-10-22 00:00:00+00:00,25,14,1.0,1.0
2025-10-23 00:00:00+00:00,11,9,,
