url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,24,8
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases,4,2
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,3,1
/CARV-ICS-FORTH/frisbee/issues,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee,3,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report,3,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases/mongodb,3,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases/mongodb/examples,3,1
/CARV-ICS-FORTH/frisbee/pulls,2,2
