time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-05 00:00:00+00:00,4,3,34.0,3.0
2023-09-06 00:00:00+00:00,3,2,9.0,3.0
2023-09-07 00:00:00+00:00,2,2,4.0,1.0
2023-09-08 00:00:00+00:00,5,4,,
2023-09-09 00:00:00+00:00,5,4,,
2023-09-10 00:00:00+00:00,3,2,,
2023-09-11 00:00:00+00:00,4,3,3.0,2.0
2023-09-12 00:00:00+00:00,5,4,4.0,3.0
2023-09-13 00:00:00+00:00,6,3,,
2023-09-14 00:00:00+00:00,8,7,22.0,3.0
2023-09-15 00:00:00+00:00,7,6,8.0,1.0
2023-09-16 00:00:00+00:00,8,3,,
2023-09-17 00:00:00+00:00,7,4,,
2023-09-18 00:00:00+00:00,1,1,9.0,1.0
